window_id,start_index,end_index,start_time,end_time,alpha_q,alpha_r,gps_updates,has_gps,mean_nis,position_mae,velocity_mae,heading_mae_deg
524,26200,26249,2619.9999999987126,2624.8999999987127,0.1,1.0,0,0,,15.10283227502888,4.019188192548219,47.26448239599648
525,26250,26299,2624.999999998708,2629.899999998708,0.1,30.0,1,1,2.1446020809130157,14.121962846706772,4.404736386453155,25.718091656248674
526,26300,26349,2629.9999999987035,2634.8999999987036,0.1,1.0,0,0,,14.216214199841486,1.3477482232809372,23.61523345214137
527,26350,26399,2634.999999998699,2639.899999998699,0.1,2.0,1,1,53.59659695211878,5.776813150990688,3.0983322908403834,8.89063050271427
528,26400,26449,2639.9999999986944,2644.8999999986945,0.1,5.0,1,1,13.57668207381096,8.242257064947896,0.563802923093857,23.915359484930995
529,26450,26499,2644.99999999869,2649.89999999869,0.1,1.0,0,0,,17.636432105933878,1.5646591537007952,39.64232538499792
530,26500,26549,2649.9999999986853,2654.8999999986854,0.1,30.0,1,1,2.411827962361885,3.5114346785614456,2.002496755502263,4.667893501020799
531,26550,26599,2654.999999998681,2659.899999998681,0.1,1.0,0,0,,14.869421182506226,4.446052575933756,28.43756386275456
532,26600,26649,2659.999999998676,2664.899999998676,0.1,30.0,2,1,24.69466066607716,11.290063149971502,3.773678819283836,24.03771579283387
533,26650,26699,2664.999999998672,2669.8999999986722,0.1,1.0,0,0,,16.513934796675834,2.0384588937021144,23.14802583110043
534,26700,26749,2669.999999998667,2674.899999998667,0.15,7.0,1,1,18.02241082246582,12.42624473914888,0.7921143092309183,26.15319379239259
535,26750,26799,2674.9999999986626,2679.8999999986627,0.1,0.7,1,1,133.38689753386132,2.1638306627317068,1.8213282031639129,0.6813010239563622
536,26800,26849,2679.999999998658,2684.899999998658,0.1,1.0,0,0,,10.17023466757529,3.351581575731535,1.3751446370736715
537,26850,26899,2684.999999998653,2689.899999998653,0.1,10.0,1,1,2.5888096958631257,1.793231859942855,0.5114360936057478,8.798729532268895
538,26900,26949,2689.999999998649,2694.899999998649,0.1,1.0,0,0,,4.484731789830537,0.9331435242756811,14.515988258317511
539,26950,26999,2694.9999999986444,2699.8999999986445,0.1,3.0,1,1,12.73814797008191,2.59073534370347,0.4077153046355735,14.939687556942763
540,27000,27049,2699.99999999864,2704.89999999864,0.1,1.0,0,0,,15.407109683128487,1.7769138072207142,46.93028775001285
541,27050,27099,2704.999999998636,2709.8999999986363,0.1,30.0,1,1,1.676776385885332,4.601941789248787,1.9738624759266,7.511493569792633
542,27100,27149,2709.9999999986308,2714.899999998631,0.1,1.0,0,0,,5.765026412631677,2.250052587103547,5.550067004037008
543,27150,27199,2714.999999998626,2719.8999999986263,0.1,30.0,1,1,4.0307963112271725,6.123379155759469,1.9683894473483108,8.776356693370143
544,27200,27249,2719.9999999986217,2724.8999999986218,7.0,15.0,1,1,3.339486183313436,13.450498651203729,7.629907494833111,2.361952308846842
545,27250,27299,2724.999999998617,2729.899999998617,0.1,1.0,0,0,,3.559147161497149,2.033141993433752,3.847694444279045
546,27300,27349,2729.999999998613,2734.899999998613,0.1,5.0,1,1,14.699037849628258,5.113090511777818,0.816564473391856,13.646558919810532
547,27350,27399,2734.999999998608,2739.899999998608,0.1,1.0,0,0,,2.324965162270142,0.7823394872206919,2.1211987516363906
548,27400,27449,2739.9999999986035,2744.8999999986036,0.1,7.0,1,1,6.545870506205794,1.6090779301506917,0.2879569805051515,1.449704143832931
549,27450,27499,2744.999999998599,2749.899999998599,0.1,1.0,0,0,,2.4690152035113635,0.4691013283791403,5.02815699680348
550,27500,27549,2749.9999999985944,2754.8999999985945,0.1,10.0,1,1,4.903680433651132,7.997950915376671,0.9499189268839526,19.61792738299061
551,27550,27599,2754.99999999859,2759.89999999859,0.1,1.0,0,0,,2.3087985095326866,0.508374473190471,2.521847334810549
552,27600,27649,2759.9999999985853,2764.8999999985854,0.1,30.0,1,1,1.2770136939967986,3.504097201379427,1.913214900912072,4.1872773918242565
553,27650,27699,2764.9999999985807,2769.899999998581,0.1,1.0,0,0,,3.3681512734915136,0.9373960925881282,4.670222493010228
554,27700,27749,2769.999999998576,2774.8999999985763,0.1,30.0,1,1,3.0613113441538986,5.198060751489206,0.9415802669667614,10.378805420066712
555,27750,27799,2774.999999998572,2779.899999998572,0.1,3.0,1,1,33.6690205379767,1.5927873464820734,0.5396498088244978,2.221268745186346
556,27800,27849,2779.999999998567,2784.899999998567,0.1,1.0,0,0,,11.160531690407424,5.190229461914721,12.351028841981886
557,27850,27899,2784.9999999985625,2789.8999999985626,10.0,1.0,1,1,0.8145071182052913,5.196719360900857,0.8376407208013901,28.094220461884
558,27900,27949,2789.999999998558,2794.899999998558,0.1,1.0,0,0,,2.223191955255595,0.6956646301634599,135.26737386038477
559,27950,27999,2794.999999998553,2799.899999998553,0.1,30.0,1,1,1.0615790435767998,6.233379340877243,3.2073356978311303,76.4131355409865
560,28000,28049,2799.999999998549,2804.899999998549,0.1,1.0,0,0,,8.030865612519728,4.877077991947886,3.0902365584345364
561,28050,28099,2804.9999999985444,2809.8999999985444,0.1,30.0,1,1,3.0437581503898947,6.5249185282444815,3.979889436506688,5.380305767887209
562,28100,28149,2809.99999999854,2814.89999999854,0.1,0.7,1,1,98.05675148940313,18.669024173595744,9.237909346917483,8.8880107023917
563,28150,28199,2814.999999998536,2819.8999999985363,0.1,1.0,0,0,,2.3439080625506787,1.2158477382227313,3.959473007958968
564,28200,28249,2819.9999999985307,2824.899999998531,0.1,2.0,1,1,36.69196390187152,3.872200725294093,3.644798845951929,2.495469536910188
565,28250,28299,2824.999999998526,2829.8999999985263,0.1,1.0,0,0,,17.735892095901253,7.921255145750674,9.368207006177798
566,28300,28349,2829.9999999985216,2834.8999999985217,0.1,2.0,1,1,12.852298963098027,4.927047752021039,2.2336189241109974,11.831359746154384
567,28350,28399,2834.999999998517,2839.899999998517,0.1,1.0,0,0,,3.544657555569633,1.2380276231322451,6.580282936999584
568,28400,28449,2839.9999999985125,2844.8999999985126,0.1,30.0,1,1,1.8660812065986805,1.6316517881938548,1.0884271921733066,1.605888301418159
569,28450,28499,2844.999999998508,2849.899999998508,0.1,1.0,0,0,,8.483950937859733,0.2460011482601523,19.351375218018752
570,28500,28549,2849.9999999985034,2854.8999999985035,0.1,30.0,1,1,2.5348958794740284,5.938643390043483,3.882364405085482,2.469008305749832
571,28550,28599,2854.999999998499,2859.899999998499,0.1,1.0,0,0,,5.60565960500071,4.2861129829566735,2.2927348952542883
572,28600,28649,2859.9999999984943,2864.8999999984944,0.1,30.0,1,1,1.033081008420853,4.173677210598576,2.6545021307937517,4.792314987902059
573,28650,28699,2864.99999999849,2869.89999999849,0.1,20.0,1,1,3.244813239691362,2.7207953205935427,0.16289274480051,5.502858494589717
574,28700,28749,2869.999999998485,2874.899999998485,0.1,1.0,0,0,,4.7220507030103525,0.8009752537289421,9.648537018827962
575,28750,28799,2874.9999999984807,2879.899999998481,0.1,0.7,1,1,44.88715628887329,4.458259555317528,1.5408910169578982,23.138321752347338
576,28800,28849,2879.999999998476,2884.8999999984762,0.1,1.0,0,0,,11.94779495057495,2.5370015732660005,31.517911283821835
577,28850,28899,2884.999999998472,2889.899999998472,0.1,30.0,1,1,1.9151337893507092,3.679186541709957,2.5303079407693447,0.9589191666134396
578,28900,28949,2889.999999998467,2894.899999998467,0.1,1.0,0,0,,8.50895722616566,5.726227291012042,23.08986634864909
579,28950,28999,2894.9999999984625,2899.8999999984626,1.5,30.0,1,1,0.2600472443559445,0.2682576712257181,0.0438162901966536,1.3888657516869365
580,29000,29049,2899.999999998458,2904.899999998458,0.3,0.1,1,1,249.2346041337678,10.10895686716166,5.011413831965303,105.47024048967089
581,29050,29099,2904.9999999984534,2909.8999999984535,0.1,1.0,0,0,,3.367770676604236,1.122822641417364,7.492889802074717
582,29100,29149,2909.999999998449,2914.899999998449,0.1,5.0,1,1,9.20482266002864,5.544186686809532,0.4553265311035193,19.94445460742902
583,29150,29199,2914.9999999984443,2919.8999999984444,0.1,1.0,0,0,,1.172725427813241,0.4786458943422421,1.7222320535580224
584,29200,29249,2919.99999999844,2924.8999999984403,0.1,30.0,1,1,1.5046520178772116,1.864374555085175,0.1452214931086697,4.91169109262007
585,29250,29299,2924.999999998435,2929.8999999984353,0.1,1.0,0,0,,5.785697757923256,1.9321279113583427,12.77483344987665
586,29300,29349,2929.9999999984307,2934.8999999984308,0.1,30.0,1,1,2.3867097783618263,5.046351417830379,3.203681707998474,4.337852020879256
587,29350,29399,2934.999999998426,2939.899999998426,0.1,1.0,0,0,,15.73069935461265,9.905651532787624,19.08142052829346
588,29400,29449,2939.9999999984216,2944.8999999984217,7.0,20.0,1,1,2.1673894240034683,2.0154896916684693,0.795209436547835,43.344567033563344
589,29450,29499,2944.999999998417,2949.899999998417,2.0,30.0,1,1,3.511807394621851,6.830418553507773,3.9215028131380456,3.55130902336122
590,29500,29549,2949.9999999984125,2954.8999999984126,0.1,1.0,0,0,,2.881634384547586,0.3642711770462498,17.000119060967155
591,29550,29599,2954.999999998408,2959.899999998408,0.1,5.0,1,1,10.463201995429944,5.514851932153566,0.791860969243788,16.3440448282504
592,29600,29649,2959.9999999984034,2964.8999999984035,0.1,1.0,0,0,,4.582933646723029,0.2341911625802612,8.936322009343098
593,29650,29699,2964.999999998399,2969.899999998399,0.1,5.0,1,1,11.675792567023528,2.959396910920457,0.6532755268041851,9.270340143490166
594,29700,29749,2969.9999999983943,2974.8999999983944,0.1,1.0,0,0,,0.9650281034409052,0.179074972579607,1.2368748566726702
595,29750,29799,2974.9999999983897,2979.89999999839,0.1,3.0,1,1,18.11481675952901,4.345686140342645,0.3337328613503716,12.6531569519187
596,29800,29849,2979.999999998385,2984.8999999983853,0.1,1.0,0,0,,5.346334615053625,0.7270261692990734,9.892960052553097
597,29850,29899,2984.9999999983806,2989.8999999983807,0.1,30.0,1,1,1.7692704835695068,1.0869475320703392,0.1987109862696463,3.2278191331151413
598,29900,29949,2989.999999998376,2994.899999998376,1.5,20.0,1,1,1.6898031802225002,4.767488096343686,0.655402953733719,10.905262247546478
599,29950,29999,2994.9999999983715,2999.8999999983716,0.1,1.0,0,0,,1.991853474425139,0.5059567978205185,4.476138303615687
